Open time,Open,High,Low,Close,Volume,Close time,Base asset volume,Number of trades,Taker buy volume,Taker buy base asset volume,Ignore,ha_signal,ema_200_signal,stoch_signal
2018-09-30 01:45:00,6595.95,6600.0,6590.0,6595.48,198.452731,2018-09-30 01:59:59.999,1309050.00322563,982,98.351312,648809.34862355,0,0.0,1.0,-1.0
2018-09-30 02:00:00,6595.47,6602.0,6594.76,6597.97,259.917655,2018-09-30 02:14:59.999,1715003.60078946,1210,173.099478,1142163.63401154,0,0.0,1.0,-1.0
2018-09-30 02:15:00,6597.97,6598.96,6580.9,6582.99,512.300033,2018-09-30 02:29:59.999,3375048.69357782,941,405.311746,2670428.05353231,0,0.0,-1.0,-1.0
2018-09-30 02:30:00,6583.0,6592.0,6576.02,6588.1,163.100381,2018-09-30 02:44:59.999,1073921.17810743,1207,91.291002,601128.60214075,0,0.0,1.0,-1.0
2018-09-30 02:45:00,6588.19,6591.17,6570.0,6575.16,398.205703,2018-09-30 02:59:59.999,2619521.53578938,1078,331.344569,2179571.6134044,0,0.0,-1.0,-1.0
2018-09-30 03:00:00,6574.54,6582.79,6570.0,6575.38,219.230478,2018-09-30 03:14:59.999,1442158.61725006,1142,100.709821,662531.5320345,0,0.0,-1.0,-1.0
2018-09-30 03:15:00,6574.5,6584.24,6570.0,6580.2,160.267311,2018-09-30 03:29:59.999,1054057.31325756,1032,88.692939,583390.24198034,0,0.0,-1.0,-1.0
2018-09-30 03:30:00,6580.6,6584.23,6574.07,6581.0,217.757693,2018-09-30 03:44:59.999,1432958.57805738,1121,98.906241,650919.15866668,0,0.0,-1.0,-1.0
2018-09-30 03:45:00,6581.0,6582.98,6575.0,6580.0,71.270733,2018-09-30 03:59:59.999,468908.09332392,906,44.573806,293278.53077899,0,0.0,-1.0,-1.0
2018-09-30 04:00:00,6576.34,6581.99,6565.56,6567.99,346.36987,2018-09-30 04:14:59.999,2276777.22994804,975,199.306851,1310204.87414957,0,0.0,-1.0,-1.0
2018-09-30 04:15:00,6567.99,6574.37,6554.99,6560.0,233.494132,2018-09-30 04:29:59.999,1533508.63063068,1279,166.249282,1092161.4381823,0,0.0,-1.0,-1.0
2018-09-30 04:30:00,6560.0,6575.93,6557.46,6565.52,141.110778,2018-09-30 04:44:59.999,926647.60540955,1116,73.103893,480085.2618953,0,0.0,-1.0,-1.0
2018-09-30 04:45:00,6565.51,6567.74,6552.44,6552.49,354.999732,2018-09-30 04:59:59.999,2329162.21209087,1463,244.587103,1604767.01851526,0,0.0,-1.0,-1.0
2018-09-30 05:00:00,6552.49,6561.39,6542.48,6560.09,276.011105,2018-09-30 05:14:59.999,1808789.86330184,1483,181.393826,1188937.86407756,0,0.0,-1.0,-1.0
